parent_molecule_chembl_id,canonical_smiles,pchembl_value,source_target,source_pchembl,standard_type
CHEMBL108166,CNc1nc(Cl)nc2c1ncn2CCC(COP(=O)(O)O)COP(=O)(O)O,3.0,P2Y1,6.08,DECOY_P2Y
CHEMBL69234,Cc1nc(/N=N/c2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c(COP(=O)(O)O)c(C=O)c1O,3.0,P2Y1,6.00,DECOY_P2Y
CHEMBL2111533,Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C[C@H]12,3.0,P2Y1,7.28,DECOY_P2Y
CHEMBL302077,Nc1ncnc2c1ncn2C1C(O)C(O)C2(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CC12,3.0,P2Y1,7.28,DECOY_P2Y
CHEMBL2373323,Nc1nc(Cl)nc2c1ncn2C1C(O)C(O)[C@@]2(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C[C@@H]12,3.0,P2Y1,8.15,DECOY_P2Y
CHEMBL2373324,CNc1ncnc2c1ncn2C1C(O)C(O)[C@@]2(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C[C@@H]12,3.0,P2Y1,7.48,DECOY_P2Y
CHEMBL2373389,CSc1nc(N)c2ncn(C3C(O)C(O)[C@@]4(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C[C@@H]34)c2n1,3.0,P2Y1,7.64,DECOY_P2Y
CHEMBL2373947,CSc1nc(N)c2ncn([C@H]3[C@H](O)[C@H](O)[C@@]4(COP(=O)(O)O)C[C@@H]34)c2n1,3.0,P2Y1,6.23,DECOY_P2Y
CHEMBL435402,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,3.0,P2Y1,8.19,DECOY_P2Y
CHEMBL2373325,Nc1ncnc2c1ncn2C1C(O)C(O)[C@@]2(COP(=O)(O)OP(=O)(O)CP(=O)(O)O)C[C@H]12,3.0,P2Y1,6.80,DECOY_P2Y
CHEMBL2373948,CSc1nc(N)c2ncn([C@H]3[C@H](O)[C@H](O)[C@@]4(COP(=O)(O)OP(=O)(O)O)C[C@@H]34)c2n1,3.0,P2Y1,9.40,DECOY_P2Y
CHEMBL1368696,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,3.0,P2Y1,6.11,DECOY_P2Y
CHEMBL336208,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,3.0,P2Y1,7.47,DECOY_P2Y
CHEMBL2373377,CNc1nc(Cl)nc2c1ncn2C1C(O)C(O)[C@@]2(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C[C@@H]12,3.0,P2Y1,8.05,DECOY_P2Y
CHEMBL129841,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,3.0,P2Y1,6.55,DECOY_P2Y
CHEMBL3143671,CNc1nc(C)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,3.0,P2Y1,7.11,DECOY_P2Y
CHEMBL356041,CNc1nc([Se]C)nc2c1ncn2C1CC(OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,3.0,P2Y1,7.46,DECOY_P2Y
CHEMBL2112869,CCCCCCc1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,3.0,P2Y1,7.10,DECOY_P2Y
